Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2007,0,11382.7725980387,42987.8282282399,2861.27936443832,10219.4505093436,5759.55910326919,2082.99797204187,Min,"$2,000","<$2,000"
2007,2000,15723.8946214169,19177.1311661349,2314.98283267399,5423.17746912421,2452.82621573533,2082.99797204187,"$2,000","$4,000","$2,000-$4,000"
2007,4000,15136.9361474928,21639.3152651275,1909.65007671689,4914.13607154635,3429.16462153609,2082.99797204187,"$4,000","$6,000","$4,000-$6,000"
2007,6000,12320.0507257762,31254.4172167172,10701.9320251083,5489.56576472998,6826.27547894748,2421.37178341484,"$6,000","$8,000","$6,000-$8,000"
2007,8000,17135.2746121953,53409.8346139499,11707.4319907072,5834.95397508521,25896.4595124516,3545.32955932595,"$8,000","$10,000","$8,000-$10,000"
2007,10000,22536.1966370509,80026.0148833263,5722.21530068226,10239.2366464217,24098.4241873421,3650.10510896706,"$10,000","$12,000","$10,000-$12,000"
2007,12000,30711.8641753552,69286.9346220865,9610.2397885314,13549.9070638833,45726.1522324847,10285.5589130201,"$12,000","$14,000","$12,000-$14,000"
2007,14000,10248.0739466214,86876.1716347411,10888.5940634443,11432.6166997816,19039.1354933241,21549.4109418304,"$14,000","$16,000","$14,000-$16,000"
2007,16000,15984.6041917347,117878.262093246,46262.2303642627,7811.24712575341,30986.0326449512,35031.1479523438,"$16,000","$18,000","$16,000-$18,000"
2007,18000,25192.1778347122,104513.381407998,41005.4578053637,15279.2749546309,10745.7819394364,15756.0248840651,"$18,000","$20,000","$18,000-$20,000"
2007,20000,24459.8607659954,136006.853774567,19936.8535978759,5348.37294532137,7544.5590963444,7471.14532339294,"$20,000","$22,000","$20,000-$22,000"
2007,22000,36717.1680605144,136731.891745179,20200.7218998641,5401.85182796305,9115.12806569852,5103.60192918048,"$22,000","$24,000","$22,000-$24,000"
2007,24000,18722.5221146983,120965.512760725,23823.0224008054,8515.44340858508,6846.87441531479,2545.51726157573,"$24,000","$26,000","$24,000-$26,000"
2007,26000,33012.3985763536,93615.9454220322,18127.844185249,6633.03889444869,8758.91155524855,2545.51726157572,"$26,000","$28,000","$26,000-$28,000"
2007,28000,30278.8241673472,124239.761211791,9540.11138304294,5832.53573407169,1519.50762418509,2791.87317575331,"$28,000","$30,000","$28,000-$30,000"
2007,30000,43979.2664675509,81699.7394131599,15455.8105259309,8088.46020741563,1879.83207125467,3206.15297759899,"$30,000","$32,000","$30,000-$32,000"
2007,32000,28677.6098321743,88847.9048996251,10946.1817821499,7522.23722294415,3673.65994260705,3206.15297759901,"$32,000","$34,000","$32,000-$34,000"
2007,34000,53897.9961576793,53033.6818511977,14000.7332463458,6309.92381831788,3374.01676980517,2083.31510465615,"$34,000","$36,000","$34,000-$36,000"
2007,36000,46452.1446785329,50011.2435351554,9864.53557664523,4924.57582477314,4335.6684765901,1991.60478959893,"$36,000","$38,000","$36,000-$38,000"
2007,38000,28577.3621705539,51879.528159468,8002.65758033795,4390.98623442478,2554.84504470104,1991.60478959893,"$38,000","$40,000","$38,000-$40,000"
2007,40000,41312.8770490307,25911.3099870621,9097.80815864104,4264.07837601841,1484.6415147935,1991.60478959896,"$40,000","$42,000","$40,000-$42,000"
2007,42000,36019.9198416723,35796.2393020224,3995.98564066069,3649.94036575893,916.551459737384,1414.76729656159,"$42,000","$44,000","$42,000-$44,000"
2007,44000,22816.5996026701,37712.6531877823,7005.96377263207,3649.94036575893,788.814598729019,1404.75871301547,"$44,000","$46,000","$44,000-$46,000"
2007,46000,51675.1034781234,23388.2371418946,10285.8634244098,3890.90997903099,788.814598729019,1404.75871301547,"$46,000","$48,000","$46,000-$48,000"
2007,48000,38059.9113102458,35579.4051294453,2683.17554430699,5996.01608630468,749.134433185071,1404.75871301547,"$48,000","$50,000","$48,000-$50,000"
2007,50000,40527.4561045794,35858.1255211274,3806.75373037084,4853.29619475087,731.951628244686,1404.75871301547,"$50,000","$52,000","$50,000-$52,000"
2007,52000,35259.9574884215,21320.7990748785,3554.66814792471,1129.33683519982,731.951628244715,908.206681765267,"$52,000","$54,000","$52,000-$54,000"
2007,54000,30828.1943862577,9612.51997679379,3210.33032548282,1129.33683519982,501.163022101187,147.018070384715,"$54,000","$56,000","$54,000-$56,000"
2007,56000,18991.0957438679,9660.92390579963,3299.96521207743,1129.33683519982,47.0031274039939,147.018070384685,"$56,000","$58,000","$56,000-$58,000"
2007,58000,17169.0098347287,9899.17244271678,5756.44873643474,1129.33683519979,47.0031274039939,147.018070384715,"$58,000","$60,000","$58,000-$60,000"
2007,60000,29868.0533386893,11105.3981775895,2855.22806240822,1129.33683519982,47.0031274039939,147.018070384715,"$60,000","$62,000","$60,000-$62,000"
2007,62000,16363.3228248158,16835.1417884566,1818.99244924868,1129.33683519982,47.003127404023,147.018070384685,"$62,000","$64,000","$62,000-$64,000"
2007,64000,28359.0411217584,10615.1385161632,12888.699215827,1129.33683519982,47.0031274039939,147.018070384715,"$64,000","$66,000","$64,000-$66,000"
2007,66000,20409.1149567737,9568.5626354618,995.418820315565,1129.33683519979,47.0031274039939,147.018070384685,"$66,000","$68,000","$66,000-$68,000"
2007,68000,12665.5352738812,3166.84714916069,995.418820315565,1129.33683519982,47.003127404023,147.018070384715,"$68,000","$70,000","$68,000-$70,000"
2007,70000,12859.9096381217,3166.84714916069,995.418820315565,851.028939661745,47.0031274039939,147.018070384685,"$70,000","$72,000","$70,000-$72,000"
2007,72000,13435.2548734891,3166.84714916069,995.418820315565,252.721949485247,47.0031274039939,147.018070384715,"$72,000","$74,000","$72,000-$74,000"
2007,74000,7664.91433865659,3166.84714916069,9914.35456423857,252.721949485276,47.0031274039939,147.018070384715,"$74,000","$76,000","$74,000-$76,000"
2007,76000,4566.93016505707,3166.84714916092,1817.05002031638,252.721949485247,47.003127404023,147.018070384685,"$76,000","$78,000","$76,000-$78,000"
2007,78000,4566.93016505695,3166.84714916069,1560.81790497422,252.721949485247,47.0031274039939,147.018070384715,"$78,000","$80,000","$78,000-$80,000"
2007,80000,6135.76570137253,3745.41673771339,1439.29157052928,252.721949485276,47.0031274039939,147.018070384685,"$80,000","$82,000","$80,000-$82,000"
2007,82000,6901.65600062208,3806.83966768254,1439.29157052928,252.721949485247,47.003127404023,147.018070384715,"$82,000","$84,000","$82,000-$84,000"
