Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2007,0,13714.742632254,9307.70391872953,2518.04042171931,5480.10889367239,5776.21107312579,2918.04152876181,Min,"$2,000","<$2,000"
2007,2000,6147.30222530401,9307.70391872953,2084.27290570874,2532.49919890635,2342.93273364028,806.848792467833,"$2,000","$4,000","$2,000-$4,000"
2007,4000,6170.44048019873,12708.2163392505,1387.44752531561,1760.09210184409,2538.00443225463,756.525002343198,"$4,000","$6,000","$4,000-$6,000"
2007,6000,6182.42834388396,14788.5125170596,1387.44752531561,1696.09067305789,3014.54464183693,551.862654224159,"$6,000","$8,000","$6,000-$8,000"
2007,8000,10913.955682245,22089.895296181,9182.42228645959,2278.05472634478,2723.67088614268,537.817043886424,"$8,000","$10,000","$8,000-$10,000"
2007,10000,10993.1239666436,39782.1119047403,6344.84316831532,3306.55041833406,5412.66591180739,631.950452501832,"$10,000","$12,000","$10,000-$12,000"
2007,12000,15860.9531330691,44129.9652008271,8123.98879041811,5351.67135787945,7863.69101271342,1272.47143472275,"$12,000","$14,000","$12,000-$14,000"
2007,14000,11109.060992867,49812.9639594799,7572.97921278769,8330.39727535258,13029.0912722075,2846.75266764499,"$14,000","$16,000","$14,000-$16,000"
2007,16000,13231.4719599683,57877.6473939185,9564.92784829138,9179.06183268576,20169.9077788513,8629.48167839501,"$16,000","$18,000","$16,000-$18,000"
2007,18000,18848.2424926938,89962.3877443421,64269.5954749776,7342.24657466808,32990.7771509232,66715.2712578066,"$18,000","$20,000","$18,000-$20,000"
2007,20000,17722.2931507764,90407.4512544469,33669.1618781202,6556.29208688718,24186.0780060285,12308.3992762229,"$20,000","$22,000","$20,000-$22,000"
2007,22000,19840.1768425978,86435.7240261085,28030.7023848459,7868.52710341095,19416.3913226747,9660.60823823784,"$22,000","$24,000","$22,000-$24,000"
2007,24000,25306.0927453557,109536.144413014,23501.5838384451,7120.13309386518,22502.8398249098,5759.31048963101,"$24,000","$26,000","$24,000-$26,000"
2007,26000,27083.799245372,115092.212907749,18083.7454910393,4207.72806370469,16576.4457365911,4209.52456167332,"$26,000","$28,000","$26,000-$28,000"
2007,28000,28909.7405575064,94478.5834955812,18176.0655755666,5716.1499620079,12806.6642396399,3883.85130936572,"$28,000","$30,000","$28,000-$30,000"
2007,30000,27075.5297318689,109103.270127242,12892.2316314538,7490.40933532834,9850.80716369796,2828.5574422249,"$30,000","$32,000","$30,000-$32,000"
2007,32000,31177.5196071174,103320.235515538,13875.0637177841,7211.22852574541,7042.95105858069,1998.92306374884,"$32,000","$34,000","$32,000-$34,000"
2007,34000,35804.9558027448,87641.2010343378,12837.9440607002,6182.04087625987,3917.80792722327,2248.32130898655,"$34,000","$36,000","$34,000-$36,000"
2007,36000,32409.2672988406,83973.4872099413,10376.2819234146,5965.43809085758,4029.86539158344,2506.88972361016,"$36,000","$38,000","$36,000-$38,000"
2007,38000,34216.3750079335,80242.0904210992,11561.6271989954,4885.48027595121,3521.20404300772,2037.3358447311,"$38,000","$40,000","$38,000-$40,000"
2007,40000,30863.5916848899,76126.4385710131,13156.8985472841,7077.2743526197,3716.06511629067,1311.14675744218,"$40,000","$42,000","$40,000-$42,000"
2007,42000,41698.3157554602,71691.5956518643,8458.06788510148,5588.18634119238,2003.79332933598,1654.44070080621,"$42,000","$44,000","$42,000-$44,000"
2007,44000,35061.0453570829,61677.0557126058,8799.34497703792,7254.27638912608,1938.36242150547,1111.64016676016,"$44,000","$46,000","$44,000-$46,000"
2007,46000,31103.6801228247,69096.0088109756,7538.40595394379,6230.87483348197,2069.73698208554,1916.32986932123,"$46,000","$48,000","$46,000-$48,000"
