Year,Income_type,Statistic,Value,Group
2007,BHC,Decile 1,15873.74136,All
2007,BHC,Decile 2,20080.01193,All
2007,BHC,Decile 3,24674.03263,All
2007,BHC,Decile 4,29262.48979,All
2007,BHC,Decile 5,34187.70678,All
2007,BHC,Decile 6,40043.19682,All
2007,BHC,Decile 7,46675.6791,All
2007,BHC,Decile 8,55222.5679,All
2007,BHC,Decile 9,69797.97535,All
2008,BHC,Decile 1,16383.91484,All
2008,BHC,Decile 2,20950.10106,All
2008,BHC,Decile 3,25853.6478,All
2008,BHC,Decile 4,30516.65179,All
2008,BHC,Decile 5,35609.47918,All
2008,BHC,Decile 6,41037.0708,All
2008,BHC,Decile 7,47527.31461,All
2008,BHC,Decile 8,55883.5847,All
2008,BHC,Decile 9,70056.85049,All
2009,BHC,Decile 1,17225.89556,All
2009,BHC,Decile 2,21839.50152,All
2009,BHC,Decile 3,26816.62339,All
2009,BHC,Decile 4,31467.63171,All
2009,BHC,Decile 5,36381.68419,All
2009,BHC,Decile 6,41816.54852,All
2009,BHC,Decile 7,48189.15004,All
2009,BHC,Decile 8,56712.77033,All
2009,BHC,Decile 9,71024.32598,All
2010,BHC,Decile 1,16872.81277,All
2010,BHC,Decile 2,21753.24647,All
2010,BHC,Decile 3,26522.09628,All
2010,BHC,Decile 4,31302.08815,All
2010,BHC,Decile 5,36400.44464,All
2010,BHC,Decile 6,42131.78708,All
2010,BHC,Decile 7,48634.87955,All
2010,BHC,Decile 8,57527.51315,All
2010,BHC,Decile 9,71498.11298,All
2011,BHC,Decile 1,16762.95776,All
2011,BHC,Decile 2,21343.07704,All
2011,BHC,Decile 3,25869.3558,All
2011,BHC,Decile 4,30717.00982,All
2011,BHC,Decile 5,35828.50501,All
2011,BHC,Decile 6,41551.15866,All
2011,BHC,Decile 7,48718.46413,All
2011,BHC,Decile 8,57624.0692,All
2011,BHC,Decile 9,72706.54787,All
2012,BHC,Decile 1,16736.85897,All
2012,BHC,Decile 2,21550.61177,All
2012,BHC,Decile 3,26077.46368,All
2012,BHC,Decile 4,30939.75212,All
2012,BHC,Decile 5,36099.95778,All
2012,BHC,Decile 6,42079.23467,All
2012,BHC,Decile 7,49096.73833,All
2012,BHC,Decile 8,58500.35059,All
2012,BHC,Decile 9,73601.53577,All
2013,BHC,Decile 1,17589.78315,All
2013,BHC,Decile 2,22382.51705,All
2013,BHC,Decile 3,27580.10106,All
2013,BHC,Decile 4,32546.02114,All
2013,BHC,Decile 5,38075.19037,All
2013,BHC,Decile 6,44302.37272,All
2013,BHC,Decile 7,51409.25667,All
2013,BHC,Decile 8,60872.76308,All
2013,BHC,Decile 9,76085.38435,All
2014,BHC,Decile 1,17684.35338,All
2014,BHC,Decile 2,22456.18381,All
2014,BHC,Decile 3,27281.21924,All
2014,BHC,Decile 4,32421.46977,All
2014,BHC,Decile 5,37899.08549,All
2014,BHC,Decile 6,44349.32413,All
2014,BHC,Decile 7,52213.97818,All
2014,BHC,Decile 8,62140.37283,All
